order,family,upham_species,mdd_species,mcc_tree_name,sex_chr,citation
CETARTIODACTYLA,BOVIDAE,Bubalus_quarlesi,Bubalus_quarlesi,Bubalus_quarlesi_BOVIDAE_CETARTIODACTYLA,NA,
CETARTIODACTYLA,BOVIDAE,Budorcas_taxicolor,Budorcas_taxicolor,Budorcas_taxicolor_BOVIDAE_CETARTIODACTYLA,0,Rubes et al 2012
CETARTIODACTYLA,BOVIDAE,Capra_aegagrus,Capra_aegagrus,Capra_aegagrus_BOVIDAE_CETARTIODACTYLA,0,Graphodatsky et al 2020
CETARTIODACTYLA,BOVIDAE,Capra_caucasica,Capra_caucasica,Capra_caucasica_BOVIDAE_CETARTIODACTYLA,NA,
CETARTIODACTYLA,BOVIDAE,Capra_cylindricornis,Capra_cylindricornis,Capra_cylindricornis_BOVIDAE_CETARTIODACTYLA,0,Graphodatsky et al 2020
CETARTIODACTYLA,BOVIDAE,Capra_falconeri,Capra_falconeri,Capra_falconeri_BOVIDAE_CETARTIODACTYLA,0,Lux et al 2004
CETARTIODACTYLA,BOVIDAE,Capra_hircus,Capra_hircus,Capra_hircus_BOVIDAE_CETARTIODACTYLA,0,Graphodatsky et al 2020
CETARTIODACTYLA,BOVIDAE,Capra_ibex,Capra_ibex,Capra_ibex_BOVIDAE_CETARTIODACTYLA,0,Lux et al 2004
CETARTIODACTYLA,BOVIDAE,Capra_nubiana,Capra_nubiana,Capra_nubiana_BOVIDAE_CETARTIODACTYLA,NA,
CETARTIODACTYLA,BOVIDAE,Capra_pyrenaica,Capra_pyrenaica,Capra_pyrenaica_BOVIDAE_CETARTIODACTYLA,0,Graphodatsky et al 2020
CETARTIODACTYLA,BOVIDAE,Capra_sibirica,Capra_sibirica,Capra_sibirica_BOVIDAE_CETARTIODACTYLA,NA,
CETARTIODACTYLA,BOVIDAE,Capra_walie,Capra_walie,Capra_walie_BOVIDAE_CETARTIODACTYLA,NA,
CETARTIODACTYLA,BOVIDAE,Capricornis_crispus,Capricornis_crispus,Capricornis_crispus_BOVIDAE_CETARTIODACTYLA,0,Graphodatsky et al 2020
CETARTIODACTYLA,BOVIDAE,Capricornis_milneedwardsii,Capricornis_sumatraensis,Capricornis_milneedwardsii_BOVIDAE_CETARTIODACTYLA,0,Huang et al 2005
CETARTIODACTYLA,BOVIDAE,Capricornis_rubidus,Capricornis_rubidus,Capricornis_rubidus_BOVIDAE_CETARTIODACTYLA,NA,
CETARTIODACTYLA,BOVIDAE,Capricornis_sumatraensis,Capricornis_sumatraensis,Capricornis_sumatraensis_BOVIDAE_CETARTIODACTYLA,0,Huang et al 2005
CETARTIODACTYLA,BOVIDAE,Capricornis_swinhoei,Capricornis_swinhoei,Capricornis_swinhoei_BOVIDAE_CETARTIODACTYLA,NA,
CETARTIODACTYLA,BOVIDAE,Capricornis_thar,Capricornis_sumatraensis,Capricornis_thar_BOVIDAE_CETARTIODACTYLA,0,Huang et al 2005
CETARTIODACTYLA,BOVIDAE,Cephalophus_adersi,Leucocephalophus_adersi,Cephalophus_adersi_BOVIDAE_CETARTIODACTYLA,NA,
CETARTIODACTYLA,BOVIDAE,Cephalophus_callipygus,Cephalophorus_callipygus,Cephalophus_callipygus_BOVIDAE_CETARTIODACTYLA,NA,
CETARTIODACTYLA,BOVIDAE,Cephalophus_dorsalis,Cephalophus_dorsalis,Cephalophus_dorsalis_BOVIDAE_CETARTIODACTYLA,0,CRES San Diego (Unpublished); Graphodatsky et al 2020
CETARTIODACTYLA,BOVIDAE,Cephalophus_harveyi,Cephalophus_natalensis,Cephalophus_harveyi_BOVIDAE_CETARTIODACTYLA,0,Robinson et al 1996
CETARTIODACTYLA,BOVIDAE,Cephalophus_jentinki,Cephalophus_jentinki,Cephalophus_jentinki_BOVIDAE_CETARTIODACTYLA,NA,
CETARTIODACTYLA,BOVIDAE,Cephalophus_leucogaster,Cephalophorus_leucogaster,Cephalophus_leucogaster_BOVIDAE_CETARTIODACTYLA,NA,
CETARTIODACTYLA,BOVIDAE,Cephalophus_natalensis,Cephalophorus_natalensis,Cephalophus_natalensis_BOVIDAE_CETARTIODACTYLA,NA,
CETARTIODACTYLA,BOVIDAE,Cephalophus_niger,Cephalophorus_niger,Cephalophus_niger_BOVIDAE_CETARTIODACTYLA,0,CRES San Diego (Unpublished); Graphodatsky et al 2020
CETARTIODACTYLA,BOVIDAE,Cephalophus_nigrifrons,Cephalophorus_nigrifrons,Cephalophus_nigrifrons_BOVIDAE_CETARTIODACTYLA,NA,
CETARTIODACTYLA,BOVIDAE,Cephalophus_ogilbyi,Cephalophorus_ogilbyi,Cephalophus_ogilbyi_BOVIDAE_CETARTIODACTYLA,NA,
CETARTIODACTYLA,BOVIDAE,Cephalophus_rufilatus,Cephalophorus_rufilatus,Cephalophus_rufilatus_BOVIDAE_CETARTIODACTYLA,0,CRES San Diego (Unpublished); Graphodatsky et al 2020
CETARTIODACTYLA,BOVIDAE,Cephalophus_silvicultor,Cephalophus_silvicultor,Cephalophus_silvicultor_BOVIDAE_CETARTIODACTYLA,0,CRES San Diego (Unpublished); Graphodatsky et al 2020
CETARTIODACTYLA,BOVIDAE,Cephalophus_spadix,Cephalophus_spadix,Cephalophus_spadix_BOVIDAE_CETARTIODACTYLA,NA,
CETARTIODACTYLA,BOVIDAE,Cephalophus_weynsi,Cephalophorus_weynsi,Cephalophus_weynsi_BOVIDAE_CETARTIODACTYLA,NA,
CETARTIODACTYLA,BOVIDAE,Cephalophus_zebra,Cephalophula_zebra,Cephalophus_zebra_BOVIDAE_CETARTIODACTYLA,NA,
CETARTIODACTYLA,BOVIDAE,Connochaetes_gnou,Connochaetes_gnou,Connochaetes_gnou_BOVIDAE_CETARTIODACTYLA,0,Steiner et al 2014
CETARTIODACTYLA,BOVIDAE,Connochaetes_taurinus,Connochaetes_taurinus,Connochaetes_taurinus_BOVIDAE_CETARTIODACTYLA,0,Steiner et al 2014
CETARTIODACTYLA,BOVIDAE,Damaliscus_lunatus,Damaliscus_lunatus,Damaliscus_lunatus_BOVIDAE_CETARTIODACTYLA,0,Steiner et al 2014
CETARTIODACTYLA,BOVIDAE,Damaliscus_pygargus,Damaliscus_pygargus,Damaliscus_pygargus_BOVIDAE_CETARTIODACTYLA,0,Steiner et al 2014
CETARTIODACTYLA,BOVIDAE,Dorcatragus_megalotis,Dorcatragus_megalotis,Dorcatragus_megalotis_BOVIDAE_CETARTIODACTYLA,NA,
CETARTIODACTYLA,BOVIDAE,Eudorcas_albonotata,Eudorcas_albonotata,Eudorcas_albonotata_BOVIDAE_CETARTIODACTYLA,NA,
CETARTIODACTYLA,BOVIDAE,Eudorcas_rufifrons,Eudorcas_rufifrons,Eudorcas_rufifrons_BOVIDAE_CETARTIODACTYLA,1,Vassart et al 1995; Cernohorska et al 2015
CETARTIODACTYLA,BOVIDAE,Eudorcas_rufina,Eudorcas_rufina,Eudorcas_rufina_BOVIDAE_CETARTIODACTYLA,NA,
CETARTIODACTYLA,BOVIDAE,Eudorcas_thomsonii,Eudorcas_thomsonii,Eudorcas_thomsonii_BOVIDAE_CETARTIODACTYLA,1,Vassart et al 1995; Cernohorska et al 2015
